provider_id,npi,first_name,last_name,city,state,phone,email,is_active,created_at,updated_at
41,4367136959,David,7K*u,Dallas,FL,+1553-801 5901,david.jones@clinichealth.com,true,2025-10-23T10:44:56,2025-10-23T10:44:56
42,3942104709,Robert,,Houston,WA,963-708-5689,robert.garcia@yahoo.com,true,2025-10-05T03:16:53,2025-10-25T18:24:33
43,5171236851,Emily,,Chicago,WA,+1 (713) 479-3695,emily.davis@outlook.com,true,2025-11-01T09:37:43,2025-11-15T23:02:54
44,9317461200,David,Anderson,Chicago,TX,+1-891-439-8724,david.wilson@outlook.com,true,2025-10-16T04:13:40,2025-10-16T04:13:40
45,1796405377,James,Williams,Chicago,IL,960 913 9850,james.williams@clinichealth.com,true,2025-11-28T13:12:17,2025-11-28T13:12:17
46,9005329318,James,,Seattle,CA,+1325-665 2501,,true,2025-10-07T08:28:59,2025-10-07T08:28:59
47,0539502402,Emily,,Austin,CA,+1-753-456-3858,emily.smith@yahoo.com,true,2025-11-17T04:08:16,2025-11-24T20:27:32
48,7661771159,James,,San Antonio,WA,+1 (244) 944-9543,james.smith@gmail.com,true,2025-10-05T10:00:46,2025-11-12T05:58:40
49,8367365766,Robert,Anderson,Los Angeles,WA,+1819-640 2624,,false,2025-11-11T15:32:16,2025-11-11T15:32:16
50,1656049451,Emily,,Dallas,TX,642-298-7105,emily.anderson@outlook.com,true,2025-10-07T05:38:00,2025-10-21T09:34:24
51,2445502296,Anna,Wilson,Seattle,WA,14316391430,anna.jones@gmail.com,true,2025-10-24T23:03:11,2025-10-30T18:22:02
52,2901476797,Michael,Miller,Chicago,CA,15785196314,michael.smith@yahoo.com,true,2025-10-07T18:39:14,2025-10-07T18:39:14
53,6226838851,Robert,!^NfCYhaA,Seattle,CA,+1 (985) 340-5186,robert.smith@clinichealth.com,true,2025-10-24T01:32:24,2025-10-24T01:32:24
54,0529751613,Laura,Johnson,Miami,WA,+1 (614) 926-7843,,true,2025-10-13T19:04:36,2025-10-13T19:04:36
55,7799799552,David,vj$o^$ySSs,San Antonio,TX,349-462-4232,david.johnson@yahoo.com,false,2025-10-16T16:06:01,2025-11-03T13:37:59
56,7980793597,James,Johnson,Los Angeles,TX,+1-258-577-5703,james.johnson@clinichealth.com,true,2025-10-31T02:15:09,2025-10-31T02:15:09
57,5546659051,Anna,Johnson,Austin,TX,453 924 8172,anna.anderson@yahoo.com,true,2025-10-18T14:04:27,2025-10-18T14:04:27
58,8652816850,Olivia,Williams,Austin,NY,517-871-7421,olivia.johnson@outlook.com,true,2025-10-06T07:47:54,2025-10-06T07:47:54
59,9270653794,Laura,tjLm#,Houston,IL,15449843147,laura.williams@yahoo.com,false,2025-11-26T16:20:41,2025-11-26T16:20:41
60,9240758181,Laura,Brown,Los Angeles,FL,19874887256,laura.williams@yahoo.com,true,2025-10-25T05:50:12,2025-10-25T05:50:12
