crm_provider_id,npi,first_name,last_name,city,state,email,phone,current_order_id,current_cycle_start_date,current_cycle_end_date,current_subscription_status,is_frozen,frozen_from_date,frozen_to_date,created_at,updated_at
12,3462475107,Olivia,Brown,Houston,WA,olivia.brown@outlook.com,+1 (283) 629-9565,1,2024-11-19,2025-02-19,CANCELLED,false,2025-01-30,2025-02-26,2024-09-16T00:00:00,2025-10-20T00:00:00
13,8412411824,David,Williams,Dallas,CA,david.jones@gmail.com,578 491 3584,4,2025-02-09,2025-05-09,EXPIRED,false,,,2024-12-26T00:00:00,2025-06-15T00:00:00
14,2427868011,David,Wilson,Houston,TX,,+1-849-633-5533,5,2025-07-05,2026-01-05,CANCELLED,false,,,2025-03-15T00:00:00,2025-10-05T00:00:00
15,8692322602,Robert,,Chicago,TX,,+1566-415 5088,2,2024-05-21,2024-11-21,EXPIRED,false,2024-06-18,2024-07-04,2023-12-03T00:00:00,2024-10-31T00:00:00
16,0365414586,Sarah,Miller,Los Angeles,CA,sarah.brown@yahoo.com,+1 (404) 671-6728,4,2025-09-02,2025-12-02,FROZEN,true,2025-11-06,,2025-03-24T00:00:00,2025-10-31T00:00:00
17,9816934060,David,Williams,Seattle,TX,david.garcia@clinichealth.com,+1 (311) 810-8119,5,2024-09-14,2025-03-14,EXPIRED,false,,,2024-08-06T00:00:00,2025-08-29T00:00:00
18,8236629946,Anna,Anderson,Dallas,IL,anna.miller@outlook.com,+1507-719 6067,5,2024-09-30,2025-03-30,EXPIRED,false,,,2024-08-11T00:00:00,2025-05-20T00:00:00
19,4895134332,Robert,Anderson,Chicago,FL,robert.williams@gmail.com,16526524501,1,2024-09-26,2024-12-26,EXPIRED,false,,,2024-08-20T00:00:00,2025-08-12T00:00:00
20,3287083172,Olivia,Brown,Miami,FL,olivia.johnson@clinichealth.com,+1609-449 3417,3,2025-10-16,2026-07-16,ACTIVE,false,,,2025-08-26T00:00:00,2025-11-19T00:00:00
21,3471434558,James,Miller,Los Angeles,CA,james.jones@clinichealth.com,+1 (961) 686-8373,5,2024-01-01,2024-07-01,EXPIRED,false,,,2023-09-21T00:00:00,2024-11-10T00:00:00
22,6690967054,Emily,,Miami,NY,,+1-755-677-7812,2,2024-02-29,2024-08-29,EXPIRED,false,,,2023-10-18T00:00:00,2024-05-09T00:00:00
23,7298069901,Olivia,Brown,Seattle,FL,olivia.miller@yahoo.com,+1 (697) 229-7371,5,2024-05-08,2024-11-08,FROZEN,true,2025-10-31,,2023-12-10T00:00:00,2024-10-24T00:00:00
24,8053100330,Anna,Brown,Chicago,FL,anna.davis@gmail.com,+1 (484) 970-7906,3,2025-06-24,2026-03-24,ACTIVE,false,,,2025-01-27T00:00:00,2025-08-14T00:00:00
25,4966319314,Michael,Davis,Chicago,CA,michael.johnson@gmail.com,820-821-2876,3,2025-02-12,2025-11-12,EXPIRED,false,,,2024-09-23T00:00:00,2025-10-01T00:00:00
26,6284987769,Robert,,Chicago,TX,robert.davis@yahoo.com,630 701 2729,1,2024-09-10,2024-12-10,EXPIRED,false,,,2024-07-04T00:00:00,2025-07-08T00:00:00
27,5494808313,Michael,Davis,Miami,NY,michael.garcia@outlook.com,229-706-6325,2,2024-01-08,2024-07-08,FROZEN,true,2025-10-21,,2023-12-14T00:00:00,2024-08-29T00:00:00
28,8856855744,Laura,Davis,Dallas,NY,laura.garcia@clinichealth.com,+1 (426) 614-4986,1,2024-02-02,2024-05-02,EXPIRED,false,2024-04-27,2024-06-04,2023-11-30T00:00:00,2025-08-07T00:00:00
29,1343524082,James,,Los Angeles,NY,,19418039595,2,2025-08-07,2026-02-07,ACTIVE,false,,,2025-04-15T00:00:00,2025-08-31T00:00:00
30,7116719022,Emily,,Houston,WA,emily.smith@outlook.com,491 680 8843,1,2024-04-09,2024-07-09,EXPIRED,false,,,2024-03-17T00:00:00,2024-07-18T00:00:00
31,9909133412,Olivia,Anderson,San Antonio,WA,olivia.miller@outlook.com,+1 (589) 661-8253,1,2025-02-16,2025-05-16,EXPIRED,false,,,2024-12-19T00:00:00,2025-05-24T00:00:00
32,7134936183,Robert,Davis,Los Angeles,NY,,+1233-437 5720,5,2025-04-04,2025-10-04,FROZEN,true,2025-11-19,,2025-01-13T00:00:00,2025-07-31T00:00:00
33,7190659401,David,Anderson,Seattle,FL,david.jones@clinichealth.com,+1327-679 5982,2,2024-03-18,2024-09-18,EXPIRED,false,,,2024-02-25T00:00:00,2025-09-22T00:00:00
34,9671756551,Olivia,Smith,Austin,FL,,+1 (731) 867-8245,1,2024-04-05,2024-07-05,EXPIRED,false,,,2023-11-23T00:00:00,2025-08-10T00:00:00
35,6038597703,James,Smith,Chicago,NY,james.smith@clinichealth.com,15313187622,2,2025-02-14,2025-08-14,EXPIRED,false,,,2024-10-28T00:00:00,2025-06-29T00:00:00
36,7127484677,Laura,,San Antonio,IL,laura.brown@gmail.com,13625181224,4,2024-10-19,2025-01-19,CANCELLED,false,,,2024-05-20T00:00:00,2025-09-22T00:00:00
37,0449972787,Olivia,Wilson,Austin,TX,olivia.wilson@outlook.com,+1 (482) 991-7798,4,2024-06-07,2024-09-07,EXPIRED,false,,,2024-01-11T00:00:00,2024-08-08T00:00:00
38,6270289517,Anna,Brown,San Antonio,WA,anna.davis@clinichealth.com,+1-592-439-7730,3,2024-02-28,2024-11-28,FROZEN,true,2025-10-31,,2023-10-13T00:00:00,2025-08-24T00:00:00
39,8657809134,Emily,Miller,Austin,TX,emily.johnson@outlook.com,16804716546,2,2024-02-28,2024-08-28,EXPIRED,false,2024-07-29,2024-08-09,2023-12-20T00:00:00,2025-04-16T00:00:00
40,3869222196,Sarah,,Seattle,TX,sarah.miller@yahoo.com,+1 (247) 532-1919,1,2025-08-06,2025-11-06,EXPIRED,false,,,2025-04-11T00:00:00,2025-10-29T00:00:00
41,4367136959,David,7K*u,Dallas,FL,david.jones@clinichealth.com,+1553-801 5901,5,2025-08-01,2026-02-01,ACTIVE,false,,,2025-05-03T00:00:00,2025-08-31T00:00:00
42,3942104709,Robert,,Houston,WA,robert.garcia@yahoo.com,963-708-5689,3,2025-02-09,2025-11-09,FROZEN,true,2025-10-20,,2024-11-15T00:00:00,2025-06-06T00:00:00
43,5171236851,Emily,,Chicago,WA,emily.davis@outlook.com,+1 (713) 479-3695,3,2024-03-15,2024-12-15,FROZEN,true,2025-10-22,,2023-10-13T00:00:00,2024-06-25T00:00:00
44,9317461200,David,Anderson,Chicago,TX,david.wilson@outlook.com,+1-891-439-8724,1,2025-07-04,2025-10-04,CANCELLED,false,,,2025-06-07T00:00:00,2025-09-04T00:00:00
45,1796405377,James,Williams,Chicago,IL,james.williams@clinichealth.com,960 913 9850,3,2024-10-18,2025-07-18,CANCELLED,false,,,2024-05-05T00:00:00,2025-09-17T00:00:00
46,9005329318,James,,Seattle,CA,,+1325-665 2501,5,2024-01-09,2024-07-09,CANCELLED,false,,,2023-12-04T00:00:00,2024-05-25T00:00:00
47,0539502402,Emily,,Austin,CA,emily.smith@yahoo.com,+1-753-456-3858,3,2024-04-28,2025-01-28,EXPIRED,false,,,2024-02-06T00:00:00,2024-11-29T00:00:00
48,7661771159,James,,San Antonio,WA,james.smith@gmail.com,+1 (244) 944-9543,3,2024-07-27,2025-04-27,EXPIRED,false,,,2024-05-14T00:00:00,2025-11-02T00:00:00
49,8367365766,Robert,Anderson,Los Angeles,WA,,+1819-640 2624,1,2024-04-04,2024-07-04,EXPIRED,false,,,2023-12-31T00:00:00,2024-08-15T00:00:00
50,1656049451,Emily,,Dallas,TX,emily.anderson@outlook.com,642-298-7105,3,2024-06-14,2025-03-14,EXPIRED,false,,,2024-06-02T00:00:00,2024-10-06T00:00:00
51,2445502296,Anna,Wilson,Seattle,WA,anna.jones@gmail.com,14316391430,1,2024-06-01,2024-09-01,EXPIRED,false,,,2024-04-15T00:00:00,2025-08-15T00:00:00
52,2901476797,Michael,Miller,Chicago,CA,michael.smith@yahoo.com,15785196314,2,2024-02-12,2024-08-12,CANCELLED,false,,,2024-01-23T00:00:00,2025-02-12T00:00:00
53,6226838851,Robert,!^NfCYhaA,Seattle,CA,robert.smith@clinichealth.com,+1 (985) 340-5186,2,2025-11-29,2026-05-29,ACTIVE,false,2025-11-30,2025-11-30,2025-09-20T00:00:00,2025-11-29T00:00:00
54,0529751613,Laura,Johnson,Miami,WA,,+1 (614) 926-7843,2,2025-02-26,2025-08-26,FROZEN,true,2025-10-14,,2024-11-23T00:00:00,2025-09-14T00:00:00
55,7799799552,David,vj$o^$ySSs,San Antonio,TX,david.johnson@yahoo.com,349-462-4232,4,2025-11-16,2026-02-16,ACTIVE,false,,,2025-10-10T00:00:00,2025-11-22T00:00:00
56,7980793597,James,Johnson,Los Angeles,TX,james.johnson@clinichealth.com,+1-258-577-5703,1,2025-04-26,2025-07-26,EXPIRED,false,,,2025-01-28T00:00:00,2025-11-22T00:00:00
57,5546659051,Anna,Johnson,Austin,TX,anna.anderson@yahoo.com,453 924 8172,2,2024-08-16,2025-02-16,FROZEN,true,2025-11-18,,2024-04-26T00:00:00,2025-01-31T00:00:00
58,8652816850,Olivia,Williams,Austin,NY,olivia.johnson@outlook.com,517-871-7421,3,2024-03-12,2024-12-12,EXPIRED,false,,,2023-11-21T00:00:00,2025-09-12T00:00:00
59,9270653794,Laura,tjLm#,Houston,IL,laura.williams@yahoo.com,15449843147,3,2024-01-29,2024-10-29,FROZEN,true,2025-11-14,,2023-12-05T00:00:00,2025-09-14T00:00:00
60,9240758181,Laura,Brown,Los Angeles,FL,laura.williams@yahoo.com,19874887256,3,2024-02-09,2024-11-09,FROZEN,true,2025-11-03,,2023-11-03T00:00:00,2024-12-26T00:00:00
